,Country,Unit,Value
0,China,tonnes,131447224.0
1,India,tonnes,99700000.0
2,Russian Federation,tonnes,72136149.0
3,United States of America,tonnes,51286540.0
4,France,tonnes,35798234.0
5,Canada,tonnes,31769200.0
6,Pakistan,tonnes,25076149.0
7,Ukraine,tonnes,24652840.0
8,Australia,tonnes,20941134.0
9,Germany,tonnes,20263500.0
10,Turkey,tonnes,20000000.0
11,Argentina,tonnes,18518045.0
12,Iran (Islamic Republic of),tonnes,14500000.0
13,Kazakhstan,tonnes,13944108.0
14,United Kingdom of Great Britain and Northern Ireland,tonnes,13555000.0
15,Romania,tonnes,10143671.0
16,Poland,tonnes,9820315.0
17,Egypt,tonnes,8800000.0
18,Spain,tonnes,7989906.0
19,Morocco,tonnes,7320620.0
20,Italy,tonnes,6932943.0
21,Bulgaria,tonnes,5832449.0
22,Brazil,tonnes,5418711.0
23,Uzbekistan,tonnes,5410760.0
24,Hungary,tonnes,5245890.0
25,Czechia,tonnes,4417841.0
26,Ethiopia,tonnes,4238836.0
27,Algeria,tonnes,3981219.0
28,Afghanistan,tonnes,3613300.0
29,Iraq,tonnes,3211382.0
30,Mexico,tonnes,2943445.0
31,Serbia,tonnes,2941601.0
32,Lithuania,tonnes,2838899.0
33,Denmark,tonnes,2654819.0
34,Azerbaijan,tonnes,1991683.0
35,Nepal,tonnes,1949001.0
36,Slovakia,tonnes,1927926.0
37,South Africa,tonnes,1868000.0
38,Belarus,tonnes,1814765.0
39,Belgium,tonnes,1652249.0
40,Sweden,tonnes,1620300.0
41,Tunisia,tonnes,1500000.0
42,Chile,tonnes,1469003.0
43,Latvia,tonnes,1431600.0
44,Austria,tonnes,1370960.0
45,Syrian Arab Republic,tonnes,1200000.0
46,Republic of Moldova,tonnes,1162778.0
47,Bangladesh,tonnes,1099373.0
48,Greece,tonnes,1072940.0
49,Turkmenistan,tonnes,1000000.0
50,Netherlands,tonnes,985297.0
51,Tajikistan,tonnes,778986.0
52,Japan,tonnes,764900.0
53,Croatia,tonnes,744405.0
54,Paraguay,tonnes,722400.0
55,Kyrgyzstan,tonnes,615926.0
56,Sudan,tonnes,595000.0
57,Saudi Arabia,tonnes,586413.0
58,Ireland,tonnes,506800.0
59,Switzerland,tonnes,497250.0
60,Finland,tonnes,494700.0
61,Estonia,tonnes,450265.0
62,Uruguay,tonnes,440000.0
63,Mongolia,tonnes,436115.0
64,New Zealand,tonnes,371027.0
65,Kenya,tonnes,336600.0
66,Bolivia (Plurinational State of),tonnes,301689.0
67,Bosnia and Herzegovina,tonnes,295810.0
68,North Macedonia,tonnes,241106.0
69,Albania,tonnes,240294.0
70,Peru,tonnes,195088.0
71,Armenia,tonnes,187453.0
72,Libya,tonnes,138770.0
73,Lebanon,tonnes,135411.0
74,Myanmar,tonnes,134372.0
75,Norway,tonnes,123500.0
76,Slovenia,tonnes,121901.0
77,Zambia,tonnes,114463.0
78,Georgia,tonnes,107100.0
79,Yemen,tonnes,105503.0
80,United Republic of Tanzania,tonnes,104870.0
81,Luxembourg,tonnes,78409.0
82,Israel,tonnes,70500.0
83,Portugal,tonnes,67749.0
84,Nigeria,tonnes,65433.0
85,Zimbabwe,tonnes,41488.0
86,Republic of Korea,tonnes,37577.0
87,Democratic People's Republic of Korea,tonnes,35000.0
88,Palestine,tonnes,34167.0
89,Mali,tonnes,29185.0
90,Eritrea,tonnes,28939.0
91,Uganda,tonnes,23597.0
92,Burundi,tonnes,22751.0
93,Mozambique,tonnes,21105.0
94,Jordan,tonnes,20668.0
95,Cyprus,tonnes,18054.0
96,Malta,tonnes,12208.0
97,Colombia,tonnes,11139.0
98,Rwanda,tonnes,10875.0
99,Lesotho,tonnes,9058.0
100,Mauritania,tonnes,7349.0
101,Other non-specified areas,tonnes,6724.0
102,Madagascar,tonnes,6322.0
103,Democratic Republic of the Congo,tonnes,6309.0
104,Namibia,tonnes,6094.0
105,Ecuador,tonnes,5398.0
106,Niger,tonnes,4807.0
107,Bhutan,tonnes,4141.0
108,Oman,tonnes,3579.0
109,Angola,tonnes,2820.0
110,Montenegro,tonnes,2467.0
111,Chad,tonnes,1798.0
112,Thailand,tonnes,1351.0
113,Guatemala,tonnes,1282.0
114,Honduras,tonnes,1248.0
115,Somalia,tonnes,1033.0
116,Cameroon,tonnes,938.0
117,Malawi,tonnes,729.0
118,Eswatini,tonnes,713.0
119,Venezuela (Bolivarian Republic of),tonnes,144.0
120,Qatar,tonnes,15.0
121,Kuwait,tonnes,9.0
122,New Caledonia,tonnes,4.0
